time,open,close,low,high,volume
1652054400,34038.39000000,30076.31000000,30033.33000000,34243.15000000,191876.92642800
1652140800,30074.23000000,31017.10000000,29730.40000000,32658.99000000,165532.00311000
1652227200,31017.11000000,29103.94000000,27785.00000000,32162.59000000,207063.73927800
1652313600,29103.94000000,29029.75000000,26700.00000000,30243.00000000,204507.26313800
1652400000,29029.74000000,29287.05000000,28751.67000000,31083.37000000,97872.36957000
1652486400,29287.05000000,30086.74000000,28630.00000000,30343.27000000,51095.87863000
1652572800,30086.74000000,31328.89000000,29480.00000000,31460.00000000,46275.66912000
1652659200,31328.89000000,29874.01000000,29087.04000000,31328.90000000,73082.19658000
1652745600,29874.01000000,30444.93000000,29450.38000000,30788.37000000,56724.13307000
1652832000,30444.93000000,28715.32000000,28654.47000000,30709.99000000,59749.15799000
1652918400,28715.33000000,30319.23000000,28691.38000000,30545.18000000,67877.36415000
1653004800,30319.22000000,29201.01000000,28730.00000000,30777.33000000,60517.25325000
1653091200,29201.01000000,29445.06000000,28947.28000000,29656.18000000,20987.13124000
1653177600,29445.07000000,30293.94000000,29255.11000000,30487.99000000,36158.98748000
1653264000,30293.93000000,29109.15000000,28866.35000000,30670.51000000,63901.49932000
1653350400,29109.14000000,29654.58000000,28669.00000000,29845.86000000,59442.96036000
1653436800,29654.58000000,29542.15000000,29294.21000000,30223.74000000,59537.38659000
1653523200,29542.14000000,29201.35000000,28019.56000000,29886.64000000,94581.65463000
1653609600,29201.35000000,28629.80000000,28282.90000000,29397.66000000,90998.52010000
1653696000,28629.81000000,29031.33000000,28450.00000000,29266.00000000,34479.35127000
1653782400,29031.33000000,29468.10000000,28839.21000000,29587.78000000,27567.34764000
1653868800,29468.10000000,31734.22000000,29299.62000000,32222.00000000,96785.94760000
1653955200,31734.23000000,31801.04000000,31200.01000000,32399.00000000,62433.11632000
1654041600,31801.05000000,29805.83000000,29301.00000000,31982.97000000,103395.63382000
1654128000,29805.84000000,30452.62000000,29594.55000000,30689.00000000,56961.42928000
1654214400,30452.63000000,29700.21000000,29282.36000000,30699.00000000,54067.44727000
1654300800,29700.21000000,29864.04000000,29485.00000000,29988.88000000,25617.90113000
1654387200,29864.03000000,29919.21000000,29531.42000000,30189.00000000,23139.92810000
1654473600,29919.20000000,31373.10000000,29890.23000000,31765.64000000,68836.92456000
1654560000,31373.10000000,31125.33000000,29218.96000000,31589.60000000,110674.51658000
1654646400,31125.32000000,30204.77000000,29843.88000000,31327.22000000,68542.61276000
1654732800,30204.77000000,30109.93000000,29944.10000000,30700.00000000,46291.18650000
1654819200,30109.93000000,29091.88000000,28850.00000000,30382.80000000,76204.24980000
1654905600,29091.87000000,28424.70000000,28099.99000000,29440.41000000,65901.39895000
1654992000,28424.71000000,26574.53000000,26560.00000000,28544.96000000,92474.59880900
1655078400,26574.53000000,22487.41000000,21925.77000000,26895.84000000,254611.03496600
1655164800,22485.27000000,22136.41000000,20846.00000000,23362.88000000,187201.64671000
1655251200,22136.42000000,22583.72000000,20111.62000000,22800.00000000,200774.49346700
1655337600,22583.72000000,20401.31000000,20232.00000000,22995.73000000,99673.59429000
1655424000,20400.60000000,20468.81000000,20246.66000000,21365.43000000,86694.33663000
1655510400,20468.81000000,18970.79000000,17622.00000000,20792.06000000,196441.65552400
1655596800,18970.79000000,20574.00000000,17960.41000000,20815.95000000,128320.87595000
1655683200,20574.00000000,20573.89000000,19637.03000000,21090.00000000,109028.94154000
1655769600,20573.90000000,20723.52000000,20348.40000000,21723.00000000,104371.07490000
1655856000,20723.51000000,19987.99000000,19770.51000000,20900.00000000,92133.97938000
1655942400,19988.00000000,21110.13000000,19890.07000000,21233.00000000,83127.08716000
1656028800,21110.12000000,21237.69000000,20736.72000000,21558.41000000,77430.36622000
1656115200,21237.68000000,21491.19000000,20906.62000000,21614.50000000,51431.67794000
1656201600,21491.18000000,21038.07000000,20964.73000000,21888.00000000,53278.10464000
1656288000,21038.08000000,20742.56000000,20510.00000000,21539.85000000,64475.00130000
1656374400,20742.57000000,20281.29000000,20202.01000000,21212.10000000,63801.08320000
1656460800,20281.28000000,20123.01000000,19854.92000000,20432.31000000,77309.04379000
1656547200,20123.00000000,19942.21000000,18626.00000000,20179.08000000,93846.64806000
1656633600,19942.21000000,19279.80000000,18975.00000000,20918.35000000,111844.59494000
1656720000,19279.80000000,19252.81000000,18977.01000000,19467.39000000,46180.30210000
1656806400,19252.82000000,19315.83000000,18781.00000000,19647.63000000,51087.46631000
1656892800,19315.83000000,20236.71000000,19055.31000000,20354.01000000,74814.04601000
1656979200,20236.71000000,20175.83000000,19304.40000000,20750.00000000,96041.13756000
1657065600,20175.84000000,20564.51000000,19761.25000000,20675.22000000,82439.58080000
1657152000,20564.51000000,21624.98000000,20251.68000000,21838.10000000,85014.58261000
1657238400,21624.99000000,21594.75000000,21189.26000000,22527.37000000,403081.57349000
1657324800,21594.75000000,21591.83000000,21322.12000000,21980.00000000,178417.84468000
1657411200,21592.15000000,20862.47000000,20655.00000000,21607.65000000,192188.21556000
1657497600,20861.11000000,19963.61000000,19875.23000000,20868.48000000,137535.40724000
1657584000,19963.61000000,19328.75000000,19240.00000000,20059.42000000,139506.45862000
1657670400,19331.28000000,20234.87000000,18910.94000000,20366.61000000,209250.24888000
1657756800,20234.87000000,20588.84000000,19616.07000000,20900.00000000,174809.21696000
1657843200,20588.84000000,20830.04000000,20382.29000000,21200.00000000,143343.30490000
1657929600,20830.04000000,21195.60000000,20478.61000000,21588.94000000,121011.67393000
1658016000,21195.60000000,20798.16000000,20750.01000000,21684.54000000,118229.45250000
1658102400,20799.58000000,22432.58000000,20762.45000000,22777.63000000,239942.73132000
1658188800,22432.58000000,23396.62000000,21579.54000000,23800.00000000,263770.76574000
1658275200,23398.48000000,23223.30000000,22906.19000000,24276.74000000,238762.17094000
1658361600,23223.30000000,23152.19000000,22341.46000000,23442.77000000,184817.68191000
1658448000,23152.19000000,22684.83000000,22500.00000000,23756.49000000,171598.43966000
1658534400,22684.83000000,22451.07000000,21934.57000000,23000.77000000,122137.77375000
1658620800,22448.58000000,22579.68000000,22257.15000000,23014.64000000,115189.67277000
1658707200,22577.13000000,21310.90000000,21250.00000000,22666.00000000,180344.76643000
1658793600,21310.90000000,21254.67000000,20706.50000000,21347.82000000,177817.24326000
1658880000,21254.67000000,22952.45000000,21042.53000000,23112.63000000,210971.19796000
1658966400,22954.31000000,23842.93000000,22582.13000000,24199.72000000,236029.07410000
1659052800,23845.25000000,23773.75000000,23414.03000000,24442.66000000,198298.50623000
1659139200,23777.28000000,23643.51000000,23502.25000000,24668.00000000,151060.13211000
1659225600,23644.64000000,23293.32000000,23227.31000000,24194.82000000,127743.32483000
1659312000,23296.36000000,23268.01000000,22850.00000000,23509.68000000,144210.16219000
1659398400,23266.90000000,22987.79000000,22654.37000000,23459.89000000,158073.28225000
1659484800,22985.93000000,22818.37000000,22681.22000000,23647.68000000,145948.80995000
1659571200,22816.91000000,22622.98000000,22400.00000000,23223.32000000,154854.67016000
1659657600,22622.41000000,23312.42000000,22586.95000000,23472.86000000,175251.69749000
1659744000,23313.56000000,22954.21000000,22909.52000000,23354.36000000,83911.80307000
1659830400,22954.21000000,23174.39000000,22844.62000000,23402.00000000,88890.00877000
1659916800,23174.39000000,23810.00000000,23154.25000000,24245.00000000,170958.44152000
1660003200,23810.98000000,23149.95000000,22865.00000000,23933.25000000,143182.50858000
1660089600,23151.32000000,23954.05000000,22664.69000000,24226.00000000,208916.54953000
1660176000,23954.05000000,23934.39000000,23852.13000000,24918.54000000,249759.79557000
1660262400,23933.09000000,24403.68000000,23583.00000000,24456.50000000,174207.57040000
1660348800,24401.70000000,24441.38000000,24291.22000000,24888.00000000,152852.25435000
1660435200,24443.06000000,24305.24000000,24144.00000000,25047.56000000,151206.14473000
1660521600,24305.25000000,24094.82000000,23773.22000000,25211.32000000,242539.54758000
1660608000,24093.04000000,23854.74000000,23671.22000000,24247.49000000,179324.94821000
1660694400,23856.15000000,23342.66000000,23180.40000000,24446.71000000,210668.68766000
1660780800,23342.66000000,23191.20000000,23111.04000000,23600.00000000,144185.97011000
1660867200,23191.45000000,20834.39000000,20783.57000000,23208.67000000,283995.87747000
1660953600,20834.39000000,21140.07000000,20761.90000000,21382.85000000,183041.68363000
1661040000,21140.07000000,21515.61000000,21069.11000000,21800.00000000,159200.68410000
1661126400,21516.70000000,21399.83000000,20890.18000000,21548.71000000,222222.04526000
1661212800,21400.75000000,21529.12000000,20890.14000000,21684.87000000,200967.77164000
1661299200,21529.11000000,21368.08000000,21145.00000000,21900.00000000,174383.22046000
1661385600,21368.05000000,21559.04000000,21310.15000000,21819.88000000,169915.78301000
1661472000,21559.04000000,20241.05000000,20107.90000000,21886.77000000,273811.61955000
1661558400,20239.14000000,20037.60000000,19800.00000000,20402.93000000,162582.46032000
1661644800,20037.60000000,19555.61000000,19520.00000000,20171.18000000,139307.95976000
1661731200,19555.61000000,20285.73000000,19550.79000000,20433.62000000,210509.49545000
1661817600,20287.20000000,19811.66000000,19540.00000000,20576.25000000,256634.35529000
1661904000,19813.03000000,20050.02000000,19797.94000000,20490.00000000,276946.60765000
1661990400,20048.44000000,20131.46000000,19565.66000000,20208.37000000,245289.97263000
1662076800,20132.64000000,19951.86000000,19755.29000000,20441.26000000,245986.60330000
1662163200,19950.98000000,19831.90000000,19652.72000000,20055.93000000,146639.03204000
1662249600,19832.45000000,20000.30000000,19583.10000000,20029.23000000,145588.77893000
1662336000,20000.30000000,19796.84000000,19633.83000000,20057.27000000,222543.01057000
1662422400,19795.34000000,18790.61000000,18649.51000000,20180.00000000,356315.05718000
1662508800,18790.61000000,19292.84000000,18510.77000000,19464.06000000,287394.77880000
1662595200,19292.85000000,19319.77000000,19012.00000000,19458.25000000,262813.28273000
1662681600,19320.54000000,21360.11000000,19291.75000000,21597.22000000,428919.74652000
1662768000,21361.62000000,21648.34000000,21111.13000000,21810.80000000,307997.33504000
1662854400,21647.21000000,21826.87000000,21350.00000000,21860.00000000,280702.55149000
1662940800,21826.87000000,22395.74000000,21538.51000000,22488.00000000,395395.61828000
1663027200,22395.44000000,20173.57000000,19860.00000000,22799.00000000,431915.03333000
1663113600,20173.62000000,20226.71000000,19617.62000000,20541.48000000,340826.40151000
1663200000,20227.17000000,19701.88000000,19497.00000000,20330.24000000,333069.76076000
1663286400,19701.88000000,19803.30000000,19320.01000000,19890.00000000,283791.07064000
1663372800,19803.30000000,20113.62000000,19748.08000000,20189.00000000,179350.24338000
1663459200,20112.61000000,19416.18000000,19335.62000000,20117.26000000,254217.46904000
1663545600,19417.45000000,19537.02000000,18232.56000000,19686.20000000,380512.40306000
1663632000,19537.02000000,18875.00000000,18711.87000000,19634.62000000,324098.32860000
1663718400,18874.31000000,18461.36000000,18125.98000000,19956.00000000,385034.10021000
1663804800,18461.36000000,19401.63000000,18356.39000000,19550.17000000,379321.72111000
1663891200,19401.63000000,19289.91000000,18531.42000000,19500.00000000,385886.91829000
1663977600,19288.57000000,18920.50000000,18805.34000000,19316.14000000,239496.56746000
1664064000,18921.99000000,18807.38000000,18629.20000000,19180.21000000,191191.44920000
1664150400,18809.13000000,19227.82000000,18680.72000000,19318.96000000,439239.21943000
1664236800,19226.68000000,19079.13000000,18816.32000000,20385.86000000,593260.74161000
1664323200,19078.10000000,19412.82000000,18471.28000000,19790.00000000,521385.45547000
1664409600,19412.82000000,19591.51000000,18843.01000000,19645.52000000,406424.93256000
1664496000,19590.54000000,19422.61000000,19155.36000000,20185.00000000,444322.95340000
1664582400,19422.61000000,19310.95000000,19159.42000000,19484.00000000,165625.13959000
1664668800,19312.24000000,19056.80000000,18920.35000000,19395.91000000,206812.47032000
1664755200,19057.74000000,19629.08000000,18959.68000000,19719.10000000,293585.75212000
1664841600,19629.08000000,20337.82000000,19490.60000000,20475.00000000,327012.00127000
1664928000,20337.82000000,20158.26000000,19730.00000000,20365.60000000,312239.75224000
1665014400,20158.26000000,19960.67000000,19853.00000000,20456.60000000,320122.17020000
1665100800,19960.67000000,19530.09000000,19320.00000000,20068.82000000,220874.83913000
1665187200,19530.09000000,19417.96000000,19237.14000000,19627.38000000,102480.09842000
1665273600,19416.52000000,19439.02000000,19316.04000000,19558.00000000,113900.82681000
1665360000,19439.96000000,19131.87000000,19020.25000000,19525.00000000,212509.09849000
1665446400,19131.87000000,19060.00000000,18860.00000000,19268.09000000,243473.84286000
1665532800,19060.00000000,19155.53000000,18965.88000000,19238.31000000,213826.26731000
1665619200,19155.10000000,19375.13000000,18190.00000000,19513.79000000,399756.68337000
1665705600,19375.58000000,19176.93000000,19070.37000000,19951.87000000,351634.32601000
1665792000,19176.93000000,19069.39000000,18975.18000000,19227.68000000,113847.64232000
1665878400,19068.40000000,19262.98000000,19063.74000000,19425.84000000,131894.61885000
1665964800,19262.98000000,19549.86000000,19152.03000000,19676.96000000,222813.87634000
1666051200,19548.48000000,19327.44000000,19091.00000000,19706.66000000,260313.07848000
1666137600,19327.44000000,19123.97000000,19065.97000000,19360.16000000,186137.29538000
1666224000,19123.35000000,19041.92000000,18900.00000000,19347.82000000,223530.13068000
1666310400,19041.92000000,19164.37000000,18650.00000000,19250.00000000,269310.75769000
1666396800,19164.37000000,19204.35000000,19112.72000000,19257.00000000,110403.90837000
1666483200,19204.29000000,19570.40000000,19070.11000000,19695.00000000,167057.20184000
1666569600,19570.40000000,19329.72000000,19157.00000000,19601.15000000,256168.14467000
1666656000,19330.60000000,20080.07000000,19237.00000000,20415.87000000,326370.67061000
1666742400,20079.02000000,20771.59000000,20050.41000000,21020.00000000,380492.69576000
1666828800,20771.61000000,20295.11000000,20200.00000000,20872.21000000,328643.57791000
1666915200,20295.11000000,20591.84000000,20000.09000000,20750.00000000,287039.94569000
1667001600,20591.84000000,20809.67000000,20554.01000000,21085.00000000,254881.77755000
1667088000,20809.68000000,20627.48000000,20515.00000000,20931.21000000,192795.60886000
1667174400,20627.48000000,20490.74000000,20237.95000000,20845.92000000,303567.61628000
1667260800,20490.74000000,20483.62000000,20330.74000000,20700.00000000,279932.43771000
1667347200,20482.81000000,20151.84000000,20048.04000000,20800.00000000,373716.27299000
1667433600,20151.84000000,20207.82000000,20031.24000000,20393.32000000,319185.15440000
1667520000,20207.12000000,21148.52000000,20180.96000000,21302.05000000,453694.39165000
1667606400,21148.52000000,21299.37000000,21080.65000000,21480.65000000,245621.98525000
1667692800,21299.37000000,20905.58000000,20886.13000000,21365.27000000,230036.97217000
1667779200,20905.58000000,20591.13000000,20384.89000000,21069.77000000,386977.60337000
1667865600,20590.67000000,18547.23000000,17166.83000000,20700.88000000,760705.36278300
1667952000,18545.38000000,15922.81000000,15588.00000000,18587.76000000,731926.92972900
1668038400,15922.68000000,17601.15000000,15754.26000000,18199.00000000,608448.36432000
1668124800,17602.45000000,17070.31000000,16361.60000000,17695.00000000,393552.86492000
1668211200,17069.98000000,16812.08000000,16631.39000000,17119.10000000,167819.96035000
1668297600,16813.16000000,16329.85000000,16229.00000000,16954.28000000,184960.78846000
1668384000,16331.78000000,16619.46000000,15815.21000000,17190.00000000,380210.77750000
1668470400,16617.72000000,16900.57000000,16527.72000000,17134.69000000,282461.84391000
1668556800,16900.57000000,16662.76000000,16378.61000000,17015.92000000,261493.40809000
1668643200,16661.61000000,16692.56000000,16410.74000000,16751.00000000,228038.97873000
1668729600,16692.56000000,16700.45000000,16546.04000000,17011.00000000,214224.18184000
1668816000,16699.43000000,16700.68000000,16553.53000000,16822.41000000,104963.15558000
1668902400,16700.68000000,16280.23000000,16180.00000000,16753.33000000,154842.13478000
1668988800,16279.50000000,15781.29000000,15476.00000000,16319.00000000,324096.99775300
1669075200,15781.29000000,16226.94000000,15616.63000000,16315.00000000,239548.06623000
1669161600,16227.96000000,16603.11000000,16160.20000000,16706.00000000,264927.70408000
1669248000,16603.11000000,16598.95000000,16458.05000000,16812.63000000,206565.92346000
1669334400,16599.55000000,16522.14000000,16342.81000000,16666.00000000,182089.49533000
1669420800,16521.35000000,16458.57000000,16385.00000000,16701.99000000,181804.81666000
1669507200,16457.61000000,16428.78000000,16401.00000000,16600.00000000,162025.47607000
1669593600,16428.77000000,16212.91000000,15995.27000000,16487.04000000,252695.40367000
1669680000,16212.18000000,16442.53000000,16100.00000000,16548.71000000,248106.25009000
1669766400,16442.91000000,17163.64000000,16428.30000000,17249.00000000,303019.80719000
1669852800,17165.53000000,16977.37000000,16855.01000000,17324.00000000,232818.18218000
1669939200,16978.00000000,17092.74000000,16787.85000000,17105.73000000,202372.20620000
1670025600,17092.13000000,16885.20000000,16858.74000000,17188.98000000,154542.57306000
1670112000,16885.20000000,17105.70000000,16878.25000000,17202.84000000,178619.13387000
1670198400,17106.65000000,16966.35000000,16867.00000000,17424.25000000,233703.29225000
1670284800,16966.35000000,17088.96000000,16906.37000000,17107.01000000,218730.76883000
1670371200,17088.96000000,16836.64000000,16678.83000000,17142.21000000,220657.41334000
1670457600,16836.64000000,17224.10000000,16733.49000000,17299.00000000,236417.97804000
1670544000,17224.10000000,17128.56000000,17058.21000000,17360.00000000,238422.06465000
1670630400,17128.56000000,17127.49000000,17092.00000000,17227.72000000,140573.97937000
1670716800,17127.49000000,17085.05000000,17071.00000000,17270.99000000,155286.47871000
1670803200,17085.05000000,17209.83000000,16871.85000000,17241.89000000,226227.49694000
1670889600,17208.93000000,17774.70000000,17080.14000000,18000.00000000,284462.91390000
1670976000,17775.82000000,17803.15000000,17660.94000000,18387.95000000,266681.22209000
1671062400,17804.01000000,17356.34000000,17275.51000000,17854.82000000,223701.96882000
1671148800,17356.96000000,16632.12000000,16527.32000000,17531.73000000,253379.04116000
1671235200,16631.50000000,16776.52000000,16579.85000000,16796.82000000,144825.66684000
1671321600,16777.54000000,16738.21000000,16663.07000000,16863.26000000,112619.31646000
1671408000,16739.00000000,16438.88000000,16256.30000000,16815.99000000,179094.28305000
1671494400,16438.88000000,16895.56000000,16397.20000000,17061.27000000,248808.92324000
1671580800,16896.15000000,16824.67000000,16723.00000000,16925.00000000,156810.96362000
1671667200,16824.68000000,16821.43000000,16559.85000000,16868.52000000,176044.27235000
1671753600,16821.90000000,16778.50000000,16731.13000000,16955.14000000,161612.00947000
