time,open,close,low,high,volume
1652054400,2519.71000000,2228.55000000,2225.00000000,2530.78000000,1574924.97930000
1652140800,2229.00000000,2342.05000000,2200.00000000,2457.34000000,1550626.13870000
1652227200,2342.04000000,2084.99000000,2005.00000000,2451.37000000,2022864.83806000
1652313600,2084.99000000,1960.22000000,1800.00000000,2195.00000000,2305192.90836000
1652400000,1960.22000000,2009.69000000,1940.23000000,2147.54000000,1134042.33870000
1652486400,2009.69000000,2056.48000000,1951.21000000,2070.06000000,563788.30780000
1652572800,2056.47000000,2145.29000000,2000.68000000,2167.00000000,514398.25870000
1652659200,2145.29000000,2023.66000000,1979.12000000,2145.29000000,822070.85310000
1652745600,2023.66000000,2090.72000000,2008.00000000,2122.42000000,568249.04480000
1652832000,2090.72000000,1915.11000000,1908.00000000,2110.72000000,631577.23410000
1652918400,1915.11000000,2019.55000000,1903.18000000,2040.39000000,741476.97940000
1653004800,2019.55000000,1959.08000000,1923.00000000,2064.00000000,576981.53710000
1653091200,1959.08000000,1975.07000000,1937.36000000,1990.86000000,238869.76320000
1653177600,1975.06000000,2043.19000000,1966.33000000,2056.41000000,355735.19270000
1653264000,2043.19000000,1973.32000000,1957.12000000,2088.50000000,636085.02240000
1653350400,1973.33000000,1979.41000000,1913.02000000,1993.83000000,534096.97200000
1653436800,1979.40000000,1942.63000000,1934.61000000,2022.34000000,524786.30910000
1653523200,1942.64000000,1792.23000000,1735.00000000,1966.01000000,1168740.57514000
1653609600,1792.24000000,1727.27000000,1703.00000000,1822.26000000,1296693.28537000
1653696000,1727.26000000,1792.22000000,1722.26000000,1808.98000000,558271.18180000
1653782400,1792.21000000,1813.64000000,1759.96000000,1827.40000000,432430.61100000
1653868800,1813.64000000,1998.78000000,1803.18000000,2013.00000000,814922.83590000
1653955200,1998.78000000,1941.90000000,1925.00000000,2016.45000000,751103.42260000
1654041600,1941.90000000,1817.95000000,1763.75000000,1972.58000000,1037841.27060000
1654128000,1817.96000000,1834.08000000,1782.42000000,1853.05000000,788784.40170000
1654214400,1834.09000000,1775.12000000,1737.00000000,1843.91000000,741282.53460000
1654300800,1775.13000000,1804.58000000,1748.43000000,1816.00000000,388279.45790000
1654387200,1804.58000000,1806.23000000,1773.05000000,1830.17000000,371974.50610000
1654473600,1806.22000000,1859.84000000,1804.35000000,1920.00000000,804250.35670000
1654560000,1859.84000000,1813.33000000,1725.13000000,1874.98000000,1397598.22880000
1654646400,1813.33000000,1791.88000000,1765.28000000,1838.77000000,941510.13730000
1654732800,1791.88000000,1788.81000000,1777.33000000,1833.00000000,535310.96180000
1654819200,1788.80000000,1662.91000000,1655.93000000,1804.32000000,955035.79239000
1654905600,1662.91000000,1532.89000000,1496.74000000,1682.21000000,1220325.25420000
1654992000,1532.89000000,1434.84000000,1423.00000000,1547.00000000,1563225.37018000
1655078400,1434.84000000,1209.82000000,1165.45000000,1455.00000000,3626351.66536000
1655164800,1209.35000000,1208.90000000,1075.80000000,1268.45000000,2716493.80131000
1655251200,1208.90000000,1237.52000000,1014.40000000,1250.00000000,3114823.13621000
1655337600,1237.53000000,1068.50000000,1051.55000000,1257.85000000,1447386.83040000
1655424000,1068.50000000,1086.94000000,1051.11000000,1118.00000000,1220677.94910000
1655510400,1086.93000000,995.13000000,881.56000000,1097.58000000,2308983.51870000
1655596800,995.12000000,1128.53000000,936.15000000,1158.62000000,2018599.44990000
1655683200,1128.53000000,1128.24000000,1053.00000000,1170.00000000,1721772.91320000
1655769600,1128.24000000,1125.85000000,1109.23000000,1194.00000000,1306095.37570000
1655856000,1125.86000000,1050.19000000,1043.65000000,1127.33000000,1306959.85930000
1655942400,1050.19000000,1144.72000000,1045.30000000,1155.00000000,1278257.08990000
1656028800,1144.71000000,1225.02000000,1132.00000000,1245.43000000,1337137.48300000
1656115200,1225.02000000,1242.36000000,1180.00000000,1256.77000000,861986.61770000
1656201600,1242.31000000,1197.79000000,1194.60000000,1280.00000000,884184.27300000
1656288000,1197.79000000,1192.51000000,1172.49000000,1238.93000000,868734.20610000
1656374400,1192.51000000,1144.05000000,1136.32000000,1237.99000000,1104065.22110000
1656460800,1144.05000000,1100.21000000,1087.42000000,1156.80000000,1295517.79600000
1656547200,1100.21000000,1071.01000000,998.00000000,1106.62000000,1420670.36560000
1656633600,1071.02000000,1059.73000000,1033.44000000,1117.00000000,1562255.14390000
1656720000,1059.73000000,1067.01000000,1028.29000000,1078.88000000,714812.08040000
1656806400,1067.01000000,1074.26000000,1040.78000000,1088.34000000,644746.33370000
1656892800,1074.26000000,1151.00000000,1045.37000000,1160.90000000,1150108.98610000
1656979200,1151.01000000,1132.50000000,1076.34000000,1174.90000000,1398961.44950000
1657065600,1132.51000000,1186.57000000,1111.44000000,1205.00000000,1211768.07570000
1657152000,1186.57000000,1237.49000000,1163.18000000,1254.29000000,1001316.07900000
1657238400,1237.49000000,1214.04000000,1193.15000000,1276.46000000,1189518.36310000
1657324800,1214.03000000,1217.02000000,1204.67000000,1235.40000000,576337.18090000
1657411200,1217.02000000,1168.36000000,1153.00000000,1219.95000000,1018038.65060000
1657497600,1168.37000000,1096.40000000,1091.71000000,1171.29000000,1201652.30480000
1657584000,1096.37000000,1038.58000000,1033.46000000,1098.26000000,1261349.63210000
1657670400,1038.58000000,1115.00000000,1006.32000000,1119.18000000,2035605.82990000
1657756800,1115.01000000,1193.42000000,1072.11000000,1214.65000000,1605101.92620000
1657843200,1193.42000000,1231.25000000,1181.05000000,1287.82000000,1466037.25840000
1657929600,1231.25000000,1355.85000000,1191.23000000,1422.91000000,1493809.92260000
1658016000,1355.84000000,1338.65000000,1319.04000000,1387.00000000,1246202.87950000
1658102400,1338.65000000,1581.04000000,1336.07000000,1597.47000000,2029918.76521000
1658188800,1581.03000000,1542.32000000,1493.11000000,1631.00000000,1846048.68160000
1658275200,1542.33000000,1521.58000000,1484.23000000,1620.40000000,1351177.42470000
1658361600,1521.63000000,1575.45000000,1463.56000000,1605.98000000,1247327.49630000
1658448000,1575.45000000,1535.27000000,1516.11000000,1650.05000000,1170723.08730000
1658534400,1535.27000000,1548.67000000,1488.00000000,1596.51000000,851284.73390000
1658620800,1548.66000000,1597.70000000,1545.67000000,1664.34000000,1009935.89970000
1658707200,1597.70000000,1440.79000000,1435.58000000,1609.55000000,1418390.98090000
1658793600,1440.79000000,1449.12000000,1356.17000000,1454.11000000,1199643.74080000
1658880000,1449.12000000,1635.74000000,1420.83000000,1644.44000000,1513426.04130000
1658966400,1635.74000000,1724.52000000,1593.27000000,1784.79000000,1578145.07555000
1659052800,1724.52000000,1721.68000000,1655.02000000,1765.99000000,1205266.57030000
1659139200,1721.68000000,1697.00000000,1673.01000000,1744.85000000,735132.52860000
1659225600,1697.00000000,1678.12000000,1666.00000000,1754.69000000,696326.80790000
1659312000,1678.12000000,1630.28000000,1606.12000000,1704.68000000,801566.56480000
1659398400,1630.28000000,1630.91000000,1559.28000000,1678.00000000,1081964.51040000
